ORCID ID,Given_Name,Family_Name,Role,Keywords,Organization,H Index,Citations
0000-0002-4339-8202,Emil,Hristov,Professor,Nessuna,Sofia University Saint Kliment Ohridski,7,259
0000-0001-5137-0990,Amin,Allam,,Nessuna,"Senior Lecturer, Universiti Teknologi MARA, 40450, Shah Alam, Selangor, MALAYSIA",9,320
0000-0002-5217-2328,B,SATHYA BAMA,,Nessuna,Sathyabama Institute of Science and Technology,44,5107
0009-0001-4373-4982,Mariana,Pelicano de Almeida,,Nessuna,"i3S - Instituto de Investigação e Inovação em Saúde, Universidade do Porto",,
0000-0003-3915-7243,Richard,Adams,Professor,"colorectal cancer, personalised treatment, survivorship, radiotherapy, palliation",Cardiff University,54,13622
0009-0003-9522-5535,Daniel J.,Vis,,Nessuna,The Netherlands Cancer Institute,26,7329
0000-0003-1987-7374,Aneta,Polewko-Klim,,Nessuna,"Faculty of Computer Science, University of Bialystok",8,654
0000-0002-4044-9166,Marc Thilo,Figge,Professor for Applied Systems Biology,"image-baesd systems biology, host-pathogen interactions, image-baesdautomated image analysis, mathematical modeling, computer simulations","Leibniz Institute for Natural Product Research and Infection  Biology - Hans Knöll Institute, Friedrich Schiller University Jena, Germany",40,4628
0009-0009-7273-9449,Richard,White,Research Affiliate,Nessuna,University of Sydney,44,63720
0000-0001-9181-6467,Jiaojiao,Li,,Nessuna,University of Technology Sydney,29,3198
0000-0003-1232-315X,Jonathan ,Gordon,,Nessuna,University of Saskatchewan,54,11379
0000-0002-8844-3572,Petr,Smirnov,Doctor of Sciences,"Value, activity, society. evolutuon",Saint Petersburg State University ,20,2105
0000-0003-2220-6897,Chuan,Wang,,Nessuna,North China University of Water Resources and Electric Power,82,33195
0000-0001-7095-7332,Keith,Boroevich,Technical Staff I,Nessuna,RIKEN Center for Integrative Medical Sciences,28,7354
0009-0009-9203-4753,Dmitry,Bocharov,,Nessuna,"Institute of Solide State physics, University of Latvia",18,878
0000-0002-5719-434X,lang,li,,Nessuna,"Department of Electronics and Electrical Engineering, National Yang Ming Chiao Tung University",38,77271
0000-0003-1783-5488,Nicola,Lazzarini,,Nessuna,Newcastle University,8,463
0000-0002-7194-3263,Aditya,Arora,,Nessuna,Inception Institute of Artificial Intelligence,19,6781
0009-0001-0370-2572,Raquel,Bello,Research Assistant,Nessuna,University of Wisconsin–Madison,25,2145
0000-0001-8882-305X,Moonshik,Shin,,Nessuna,Chapman University,1,4
0000-0003-2350-0756,Claudine,Chaouiya,Associate Professor,"Computational biology, Discrete dynamical systems, Logical modelling, Regulatory networks, Signalling networks",Aix-Marseille University,39,6317
0000-0002-4777-4586,Chayaporn,Suphavilai,,Nessuna,Genome Institute of Singapore,13,3468
0000-0001-5251-9603,Zhiqing,Xu,,Nessuna,Karolinska Institute and Capital Medical University,47,7301
0000-0001-5989-0499,Barbara,Bryant,,Nessuna,Constellation Pharmaceuticals,28,7205
0000-0001-6829-3063,Haichen ,Zhang ,,Nessuna,Université Libre de Bruxelles,26,2283
0000-0003-1030-5572,Brian R.,Lawler,Professor of Mathematics Education,Nessuna,Kennesaw State University,8,436
0009-0004-2555-1762,luca maria,Gambardella,,Nessuna,"Faculty of informatics, USI, IDSIA - USI-SUPSI, Artificialy SA, Lugano",77,59372
0000-0001-7854-2027,venkateswararao,cherukuri,,Nessuna,"Qualcomm, Sandiego",11,772
0000-0002-5758-8090,Robert,Vogel,,Nessuna,Unknown affiliation,33,4785
0009-0002-1356-3227,Fenglong,Song,,Nessuna,Huawei Noah's Ark Lab,13,813
0000-0003-3491-2668,GIULIA,BERNARDINI,,Nessuna,University of Colorado Boulder,35,3960
0000-0002-8166-2326,Symeon,Symeonidis,,Nessuna,"Democritus University of Thrace, ENORA Innovation",14,950
0000-0003-3587-3680,Ivan,Merelli,,Nessuna,"Researcher in Bioinformatics, Institute for Biomedical Technologies",29,3389
0000-0002-0451-6536,Zheng,Ning,PhD Student,Nessuna,Karolinska Institutet,76,30173
0000-0001-8343-8929,Annalisa,MASSINI,Associate Professor,Nessuna,Sapienza University of Rome,18,885
0000-0002-3780-9730,HEEWON,LEE,,Nessuna,Sejong University,20,1294
0000-0001-6039-138X,Matteo,Orrù,,Nessuna,Lastminute.com,12,444
0000-0002-9551-6370,Mélanie,Courtot,Assistant professor,"Bioinformatics, Ontology",University of Toronto,30,12372
0000-0003-4176-8035,Zudi,Lin,Research Assistant,"Deep Learning, Computer Vision, Connectomics",Harvard University,35,4547
0000-0002-7702-4495,Allyson,Lister,,Nessuna,University of Oxford,18,4822
0000-0001-7020-1236,Neil,Swainston,,Nessuna,University of Liverpool,38,8331
0000-0001-5247-5073,Yves,Scherrer,,"Natural language processing, dialects and closely related languages, machine translation, dialectome",University of Helsinki,25,2212
0000-0002-2226-650X,Hidde,de Jong,,Nessuna,INRIA,38,9381
0000-0002-0623-4989,Fernando,Perales,,Nessuna,JOT INTERNET MEDIA (Head of Research Lab),8,247
0000-0001-9926-7490,Binbin,Song,,Nessuna,University of Macau,5,106
0000-0003-0632-3233,Jiye,Liu,,Nessuna,Dana-Farber Cancer Institute,11,642
0000-0002-0886-9769,Tero,Aittokallio,,Nessuna,University of Helsinki,71,17830
0000-0002-2314-5507,Marat,Kazanov,Head of the Translational Bioinformatics Group,Nessuna,Institute for Information Transmission Problems,43,13263
0000-0001-6849-7568,paola,Bonizzoni,,Nessuna,University of Milano Bicocca,27,2472
0000-0002-8630-1108,Ilya,Kiselev,,Nessuna,Breitmeier Messtechnik GmbH,14,900
0000-0002-7706-186X,Fanglong,Liu,,Nessuna,Baidu,5,151
0000-0002-1314-3348,Dries,De Maeyer,,Nessuna,Unknown affiliation,11,1405
